Orografia. Cims principals. Comarques, àmbits i províncies
2021
Font: Institut Cartogràfic de Catalunya.

Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15186
;Elevació principal;Altitud (m);Serra/massís
Alt Camp;Mola d'Estat;1127;Muntanyes de Prades
Alt Empordà;El Moixer;1451;Pirineus-les Salines
Alt Penedès;Puig de les Torres;750; 
Alt Urgell;Pic de Salòria;2789;Pirineus
Alta Ribagorça;Pic de Comaloformo;3033;Pirineus
Anoia;Sant Jeroni;1236;Montserrat
Bages;Sant Jeroni;1236;Montserrat
Baix Camp;Tossal de la Baltasana;1202;Muntanyes de Prades
Baix Ebre;Caro;1441;el Port
Baix Empordà;Puig d'Arques;533;les Gavarres
Baix Llobregat;l'Albarda Castellana;1178;Montserrat
Baix Penedès;Puig de la Talaia;861;el Montmell
Barcelonès;Tibidabo;516;Serra de Collserola
Berguedà;Pic de Costa Cabirolera;2604;Prepirineu-el Cadí
Cerdanya;Puigpedrós;2915;Pirineus
Conca de Barberà;Tossal de la Baltasana;1202;Muntanyes de Prades
Garraf;Puig de la Mola;534;Massís del Garraf
Garrigues;Punta del Curull;1022;Serra de la Llena
Garrotxa;Comanegra;1557;Pirineus
Gironès;Puigsou;988;Muntanya de Rocacorba
Maresme;Turó Gros de Miralles;341;Montnegre
Montsià;Tossal del Rei;1350;el Port
Noguera;Tossal de les Torretes;1677;Prepirineu-Montsec de Rúbies
Osona;Matagalls;1697;Montseny
Pallars Jussà;Pic de Peguera;2983;Pirineus
Pallars Sobirà;Pica d'Estats;3143;Pirineus
Pla d'Urgell;Tossal de l'Infern;301; 
Pla de l'Estany;Puig Sesarques;880; 
Priorat;Roca Corbatera;1163;Montsant
Ribera d'Ebre;la Creu de Santos;942;Serres de Cardó-el Boix
Ripollès;Puigmal;2909;Pirineus
Segarra;Turó del Galutxo;852; 
Segrià;Puntal dels Escambrons;495; 
Selva;les Agudes;1705;Montseny
Solsonès;Pedró dels Quatre Batlles;2387;Prepirineu-el Port del Comte
Tarragonès;la Mola;317; 
Terra Alta;Tosseta Rasa;1217;el Port
Urgell;Tossal Gros de Vallbona;804;Serra del Tallat
Val d'Aran;Besibèrri Nord;3015;Pirineus
Vallès Occidental;la Mola;1104;Sant Llorenç del Munt
Vallès Oriental;Turó de l'Home;1706;Montseny
Catalunya;Pica d'Estats;3143;Pirineus
Metropolità;Turó de l'Home;1706;Montseny
Comarques Gironines;Puigmal;2909;Pirineus
Camp de Tarragona;Tossal de la Baltasana;1202;Muntanyes de Prades
Terres de l'Ebre;Caro;1441;el Port
Ponent;Tossal de les Torretes;1677;Prepirineu-Montsec de Rúbies
Comarques Centrals;Pic de Costa Cabirolera;2604;Prepirineu-el Cadí
Alt Pirineu i Aran;Pica d'Estats;3143;Pirineus
Penedès;Sant Jeroni;1236;Montserrat
Barcelona;Pic de Costa Cabirolera;2604;Prepirineu-el Cadí
Girona;Puigpedrós;2915;Pirineus
Lleida;Pica d'Estats;3143;Pirineus
Tarragona;Caro;1441;el Port

